extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
04/30/2020,03/30/2020,8421,5953,1786,629
04/30/2020,03/12/2020,1564,392,87,29
04/30/2020,04/06/2020,10778,6161,1735,587
04/30/2020,04/20/2020,11319,3592,421,71
05/15/2020,04/19/2020,6725,2298,513,124
05/15/2020,05/05/2020,11160,1444,120,10
05/15/2020,04/17/2020,10172,3501,751,189
05/15/2020,05/10/2020,4379,414,52,2
05/15/2020,04/29/2020,11751,2263,298,38
05/15/2020,04/14/2020,9354,4084,1087,312
05/15/2020,05/04/2020,10948,1472,132,29
05/15/2020,05/13/2020,6952,581,7,0
05/15/2020,05/12/2020,11920,977,39,1
05/15/2020,03/13/2020,2159,684,197,45
05/15/2020,02/26/2020,1,0,0,0
05/15/2020,03/02/2020,4,0,0,0
05/15/2020,03/31/2020,7853,5412,1702,633
05/15/2020,05/06/2020,11540,1311,118,10
05/15/2020,03/08/2020,109,27,17,4
05/15/2020,04/16/2020,9509,3479,794,214
05/15/2020,04/05/2020,6313,3748,1360,477
05/15/2020,02/09/2020,1,0,0,0
05/17/2020,04/01/2020,8422,5451,1647,665
05/17/2020,03/30/2020,8524,6064,1921,687
05/17/2020,04/23/2020,9955,2769,439,108
05/17/2020,03/26/2020,7285,5087,1686,550
05/17/2020,03/20/2020,7788,4170,962,256
05/17/2020,04/27/2020,10191,2220,372,63
05/17/2020,03/08/2020,109,27,22,4
05/17/2020,04/21/2020,9736,3042,578,162
05/01/2020,04/25/2020,4952,1201,197,16
05/01/2020,03/21/2020,4715,2666,757,233
05/01/2020,04/29/2020,5086,753,5,0
05/01/2020,04/28/2020,9811,2023,119,6
05/01/2020,04/03/2020,9395,5534,1700,607
05/01/2020,03/03/2020,11,2,0,0
05/01/2020,01/23/2020,1,1,0,0
05/01/2020,02/26/2020,1,0,0,0
05/01/2020,03/13/2020,2158,682,193,45
05/01/2020,03/22/2020,4374,2626,847,243
05/01/2020,04/04/2020,6143,3713,1341,444
05/01/2020,03/01/2020,1,0,0,0
05/01/2020,04/21/2020,9594,2923,418,78
05/01/2020,02/08/2020,1,0,0,0
05/01/2020,04/30/2020,228,16,0,0
05/01/2020,02/27/2020,1,0,0,1
05/01/2020,03/18/2020,6277,3127,655,169
05/01/2020,04/06/2020,10779,6165,1749,607
05/01/2020,04/10/2020,7514,4147,1138,369
05/01/2020,03/20/2020,7758,4126,890,243
05/01/2020,03/28/2020,4636,3404,1318,478
05/01/2020,04/05/2020,6164,3580,1303,423
05/01/2020,02/05/2020,1,0,0,0
05/01/2020,03/14/2020,1704,687,218,60
05/01/2020,03/23/2020,5567,3590,1124,341
05/01/2020,04/07/2020,10410,5816,1555,541
05/01/2020,02/09/2020,1,0,0,0
05/01/2020,04/02/2020,9270,5657,1730,567
05/01/2020,04/14/2020,9280,3987,902,218
05/01/2020,04/13/2020,6595,3154,999,263
05/01/2020,03/09/2020,397,69,30,14
05/01/2020,03/07/2020,61,11,7,3
05/01/2020,04/11/2020,6742,3480,906,267
05/01/2020,04/15/2020,9730,3716,723,203
05/01/2020,03/26/2020,7174,4970,1591,513
05/01/2020,03/06/2020,79,11,4,2
05/01/2020,04/20/2020,11321,3598,440,90
05/01/2020,03/02/2020,4,0,0,0
05/01/2020,03/29/2020,4781,3431,1347,442
05/01/2020,03/12/2020,1564,392,87,29
05/01/2020,03/17/2020,5517,2562,514,130
05/01/2020,04/23/2020,9566,2606,294,45
05/01/2020,03/27/2020,7290,5017,1562,537
05/01/2020,03/16/2020,4937,2225,466,108
05/01/2020,04/27/2020,9560,1951,216,6
05/01/2020,03/19/2020,7700,3871,807,219
05/01/2020,04/16/2020,9403,3369,577,136
05/01/2020,04/01/2020,7899,5028,1393,522
05/01/2020,04/18/2020,6413,2051,413,79
05/01/2020,04/12/2020,5584,2660,813,260
05/01/2020,04/24/2020,9005,2209,264,30
05/01/2020,02/04/2020,1,0,0,0
05/01/2020,02/29/2020,2,1,0,0
05/01/2020,04/09/2020,9021,4809,1277,419
05/01/2020,04/26/2020,4165,840,180,18
05/01/2020,03/05/2020,63,5,3,1
05/01/2020,03/10/2020,456,86,38,9
05/01/2020,03/31/2020,7579,5188,1597,571
05/01/2020,02/02/2020,2,0,0,0
05/01/2020,03/11/2020,790,177,62,22
05/01/2020,04/17/2020,9999,3399,549,121
05/01/2020,04/22/2020,11183,3283,342,56
05/01/2020,03/30/2020,8426,5959,1794,641
05/01/2020,04/19/2020,6665,2215,383,78
05/01/2020,03/08/2020,109,27,16,4
05/01/2020,03/25/2020,7465,4814,1402,438
05/01/2020,03/04/2020,32,6,5,1
05/01/2020,02/28/2020,1,0,0,0
05/01/2020,03/15/2020,2346,1085,285,80
05/01/2020,03/24/2020,7078,4481,1313,433
05/01/2020,04/08/2020,9985,5351,1474,511
05/02/2020,03/23/2020,5493,3516,1068,320
05/02/2020,03/09/2020,397,69,30,14
05/02/2020,04/26/2020,4259,899,190,19
05/02/2020,03/14/2020,1704,686,217,59
05/02/2020,01/23/2020,1,1,0,0
05/02/2020,04/11/2020,6744,3485,916,273
05/02/2020,04/01/2020,7900,5030,1399,528
05/02/2020,03/12/2020,1563,392,87,29
05/02/2020,04/25/2020,5755,1219,198,19
05/02/2020,04/21/2020,9605,2928,422,87
05/02/2020,04/08/2020,9989,5357,1488,520
05/02/2020,04/15/2020,9731,3721,731,207
05/02/2020,04/16/2020,9430,3372,583,139
05/02/2020,03/02/2020,4,0,0,0
05/02/2020,02/02/2020,2,0,0,0
05/02/2020,04/17/2020,10032,3407,553,129
05/02/2020,03/27/2020,7287,5015,1565,537
05/02/2020,04/24/2020,9188,2250,272,32
05/02/2020,03/16/2020,4935,2221,463,107
05/02/2020,02/08/2020,1,0,0,0
05/02/2020,03/22/2020,4329,2581,830,239
05/02/2020,04/19/2020,6676,2223,389,78
05/02/2020,04/13/2020,6594,3155,1002,270
05/02/2020,04/12/2020,5584,2659,823,265
05/02/2020,03/26/2020,7172,4969,1592,515
05/02/2020,05/01/2020,176,6,0,0
