"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2020","197.31","195.73","198.20","195.67","443.10K","1.54%"
"Oct 11, 2020","194.32","194.32","194.32","194.32","-","0.00%"
"Oct 09, 2020","194.32","193.76","194.69","193.37","457.03K","0.90%"
"Oct 08, 2020","192.59","192.14","192.70","191.69","498.96K","0.87%"
"Oct 07, 2020","190.93","189.90","191.41","189.75","255.75K","1.72%"
"Oct 06, 2020","187.70","190.42","191.70","187.43","473.47K","-1.35%"
"Oct 05, 2020","190.27","188.56","190.32","188.49","463.38K","1.78%"
"Oct 04, 2020","186.94","186.94","186.94","186.94","-","0.00%"
"Oct 03, 2020","186.94","186.94","186.94","186.94","-","0.00%"
"Oct 02, 2020","186.94","185.26","188.02","185.19","499.73K","-0.83%"
"Oct 01, 2020","188.51","188.90","189.09","187.56","552.44K","0.73%"
"Sep 30, 2020","187.15","186.85","188.87","186.14","676.72K","0.74%"
"Sep 29, 2020","185.77","186.47","186.90","185.39","539.65K","-0.52%"
"Sep 28, 2020","186.75","186.29","187.00","185.60","603.63K","1.72%"
"Sep 27, 2020","183.59","183.59","183.59","183.59","-","0.00%"
"Sep 26, 2020","183.59","183.59","183.59","183.59","-","0.00%"
"Sep 25, 2020","183.59","180.32","184.00","179.73","743.67K","1.73%"
"Sep 24, 2020","180.46","179.34","182.36","178.35","1.63M","0.22%"
"Sep 23, 2020","180.06","184.80","184.90","179.88","377.25K","-2.80%"
"Sep 22, 2020","185.25","184.41","185.55","182.85","343.27K","0.97%"
"Sep 21, 2020","183.47","183.05","183.47","180.71","551.69K","-1.02%"
"Sep 18, 2020","185.37","188.03","188.20","183.81","1.10M","-1.04%"
"Sep 17, 2020","187.32","185.68","188.07","185.68","359.29K","-0.88%"
"Sep 16, 2020","188.99","190.26","191.31","188.90","368.11K","-0.38%"
"Sep 15, 2020","189.71","190.28","190.69","189.12","413.05K","0.54%"
"Sep 14, 2020","188.69","188.55","189.36","188.13","322.39K","1.57%"
"Sep 13, 2020","185.78","185.78","185.78","185.78","-","0.00%"
"Sep 11, 2020","185.78","187.08","187.43","184.12","723.00K","-0.05%"
"Sep 10, 2020","185.87","190.26","190.60","185.51","466.84K","-1.59%"
"Sep 09, 2020","188.88","187.72","190.29","187.29","440.06K","2.01%"
"Sep 08, 2020","185.16","186.41","187.76","185.11","710.85K","-2.83%"
"Sep 04, 2020","190.56","192.83","193.60","186.19","2.83M","-0.96%"
"Sep 03, 2020","192.40","198.24","198.24","190.83","1.15M","-3.53%"
"Sep 02, 2020","199.44","198.00","199.85","196.96","820.64K","1.35%"
"Sep 01, 2020","196.79","195.42","196.79","195.02","470.89K","0.84%"
"Aug 31, 2020","195.15","195.21","195.97","194.71","1.07M","-0.06%"
"Aug 30, 2020","195.26","195.26","195.26","195.26","-","0.00%"
"Aug 28, 2020","195.26","194.86","195.44","194.09","342.95K","0.67%"
"Aug 27, 2020","193.97","194.01","194.99","193.08","434.07K","0.23%"
"Aug 26, 2020","193.52","191.80","193.74","191.77","568.52K","1.02%"
"Aug 25, 2020","191.57","190.98","191.62","190.61","608.61K","0.35%"
"Aug 24, 2020","190.91","190.76","190.91","189.95","393.04K","0.96%"
"Aug 23, 2020","189.09","189.09","189.09","189.09","-","0.00%"
"Aug 21, 2020","189.09","188.53","189.30","188.30","328.71K","0.30%"
"Aug 20, 2020","188.53","186.91","188.90","186.91","521.06K","0.29%"
"Aug 19, 2020","187.98","188.93","189.25","187.71","886.79K","-0.41%"
"Aug 18, 2020","188.76","188.80","188.99","187.93","404.39K","0.21%"
"Aug 17, 2020","188.37","188.11","188.48","188.05","413.17K","0.46%"
"Aug 14, 2020","187.50","187.28","187.84","186.94","388.54K","-0.05%"
"Aug 13, 2020","187.60","187.42","188.36","187.02","454.44K","-0.01%"
"Aug 12, 2020","187.61","186.97","188.15","186.84","933.66K","1.30%"
"Aug 11, 2020","185.20","187.03","187.74","184.83","433.43K","-0.79%"
"Aug 10, 2020","186.67","186.60","186.80","185.56","444.16K","0.21%"
"Aug 09, 2020","186.28","186.28","186.28","186.28","-","0.00%"
"Aug 08, 2020","186.28","186.28","186.28","186.28","-","0.00%"
"Aug 07, 2020","186.28","185.70","186.31","185.02","355.59K","-0.04%"
"Aug 06, 2020","186.36","184.97","186.36","184.77","671.93K","0.61%"
"Aug 05, 2020","185.23","184.94","185.37","184.91","300.68K","0.67%"
"Aug 04, 2020","184.00","183.44","184.00","182.88","512.96K","0.31%"
"Aug 03, 2020","183.44","182.87","183.82","182.77","863.76K","0.86%"
"Aug 02, 2020","181.87","181.87","181.87","181.87","-","0.00%"
"Jul 31, 2020","181.87","181.84","181.89","179.07","874.02K","0.66%"
"Jul 30, 2020","180.68","179.38","180.93","178.28","359.57K","-0.35%"
"Jul 29, 2020","181.32","179.44","181.59","179.44","501.33K","1.32%"
"Jul 28, 2020","178.95","179.79","180.31","178.78","393.11K","-0.69%"
"Jul 27, 2020","180.19","178.66","180.22","178.66","470.94K","0.89%"
"Jul 26, 2020","178.60","178.60","178.60","178.60","-","0.00%"
"Jul 25, 2020","178.60","178.60","178.60","178.60","-","0.00%"
"Jul 24, 2020","178.60","179.04","179.32","177.81","376.84K","-0.71%"
"Jul 23, 2020","179.87","181.99","182.44","179.14","473.57K","-1.25%"
"Jul 22, 2020","182.15","181.02","182.29","180.88","379.74K","0.65%"
"Jul 21, 2020","180.98","181.91","182.16","180.52","811.32K","0.08%"
"Jul 20, 2020","180.83","178.96","181.11","178.85","467.87K","0.93%"
"Jul 17, 2020","179.17","179.18","179.59","178.02","345.94K","0.39%"
"Jul 16, 2020","178.47","177.94","178.79","177.68","475.61K","-0.36%"
"Jul 15, 2020","179.12","179.34","179.64","177.60","445.65K","0.98%"
"Jul 14, 2020","177.38","173.96","177.48","173.49","607.74K","1.35%"
"Jul 13, 2020","175.01","178.45","179.77","174.75","1.57M","-1.13%"
"Jul 12, 2020","177.01","177.01","177.01","177.01","-","0.00%"
"Jul 11, 2020","177.01","177.01","177.01","177.01","-","0.00%"
"Jul 10, 2020","177.01","175.30","177.08","174.36","545.32K","1.02%"
"Jul 09, 2020","175.22","176.56","176.56","173.15","654.57K","-0.46%"
"Jul 08, 2020","176.03","174.98","176.09","174.24","475.45K","0.80%"
"Jul 07, 2020","174.64","175.55","176.75","174.44","1.52M","-0.98%"
"Jul 06, 2020","176.36","176.21","176.61","175.62","502.47K","1.51%"
"Jul 05, 2020","173.74","173.74","173.74","173.74","-","0.00%"
"Jul 04, 2020","173.74","173.74","173.74","173.74","-","0.00%"
"Jul 02, 2020","173.74","174.82","175.62","173.34","606.18K","0.55%"
"Jul 01, 2020","172.79","172.16","173.40","171.92","988.15K","0.65%"
"Jun 30, 2020","171.68","169.10","172.43","169.01","1.42M","1.50%"
"Jun 29, 2020","169.15","167.69","169.15","166.16","761.63K","1.42%"
"Jun 26, 2020","166.78","170.18","170.25","166.58","1.60M","-2.33%"
"Jun 25, 2020","170.75","168.54","170.90","167.40","716.75K","1.11%"
"Jun 24, 2020","168.87","172.20","172.46","167.92","1.11M","-2.60%"
"Jun 23, 2020","173.37","174.16","174.73","173.18","451.45K","0.32%"
"Jun 22, 2020","172.81","171.37","172.92","170.62","449.91K","0.67%"
"Jun 19, 2020","171.66","174.79","174.79","170.86","594.12K","-0.51%"
"Jun 18, 2020","172.54","171.75","172.84","171.49","449.00K","0.10%"
"Jun 17, 2020","172.37","173.46","173.94","172.13","602.51K","-0.48%"
"Jun 16, 2020","173.20","174.99","174.99","170.58","1.80M","1.89%"
"Jun 15, 2020","169.98","164.84","170.46","164.08","2.00M","0.73%"
"Jun 12, 2020","168.75","170.88","171.56","165.55","918.06K","1.27%"
"Jun 11, 2020","166.64","172.11","172.97","166.41","675.77K","-5.84%"
"Jun 10, 2020","176.98","178.47","178.92","176.76","1.11M","-0.61%"
"Jun 09, 2020","178.06","177.91","178.99","177.35","1.05M","-0.94%"
"Jun 08, 2020","179.75","178.01","179.75","177.62","1.90M","1.38%"
"Jun 07, 2020","177.31","177.31","177.31","177.31","-","0.00%"
"Jun 05, 2020","177.31","176.25","178.43","176.24","945.55K","2.56%"
"Jun 04, 2020","172.88","172.66","173.79","171.65","625.82K","-0.28%"
"Jun 03, 2020","173.36","172.25","173.84","172.18","704.28K","1.42%"
"Jun 02, 2020","170.93","170.10","170.93","169.34","1.61M","0.83%"
"Jun 01, 2020","169.53","168.14","169.92","168.08","458.44K","0.63%"
"May 29, 2020","168.47","167.49","169.00","166.14","2.40M","0.40%"
"May 28, 2020","167.80","168.79","170.02","167.59","677.56K","-0.29%"
"May 27, 2020","168.29","167.56","168.29","164.44","738.83K","1.48%"
"May 26, 2020","165.84","167.34","167.34","165.60","905.09K","1.41%"
"May 22, 2020","163.54","163.35","163.72","162.41","1.21M","0.25%"
"May 21, 2020","163.13","164.15","164.62","162.56","264.30K","-0.67%"
"May 20, 2020","164.23","163.68","164.78","163.57","537.62K","1.73%"
"May 19, 2020","161.43","162.91","163.83","161.43","608.53K","-0.94%"
"May 18, 2020","162.96","162.11","163.91","162.01","1.42M","3.05%"
"May 15, 2020","158.14","155.83","158.14","155.40","431.31K","0.44%"
"May 14, 2020","157.44","153.76","157.44","152.44","1.08M","1.30%"
"May 13, 2020","155.42","158.16","158.61","154.00","677.30K","-1.84%"
"May 12, 2020","158.34","162.56","162.74","158.34","1.27M","-2.19%"
"May 11, 2020","161.89","160.53","162.62","160.26","891.18K","0.08%"
"May 10, 2020","161.76","161.76","161.76","161.76","-","0.00%"
"May 09, 2020","161.76","161.76","161.76","161.76","-","0.00%"
"May 08, 2020","161.76","160.86","161.99","160.28","1.32M","1.79%"
"May 07, 2020","158.92","158.97","160.09","158.69","737.34K","1.31%"
"May 06, 2020","156.86","158.89","159.15","156.84","791.65K","-0.68%"
"May 05, 2020","157.93","158.20","159.56","157.61","822.84K","0.93%"
"May 04, 2020","156.48","154.77","156.50","153.84","642.45K","0.39%"
"May 03, 2020","155.87","155.87","155.87","155.87","-","0.00%"
"May 02, 2020","155.87","155.87","155.87","155.87","-","0.00%"
"May 01, 2020","155.87","157.42","157.64","155.11","553.64K","-2.71%"
"Apr 30, 2020","160.21","161.04","161.32","159.35","1.71M","-1.00%"
"Apr 29, 2020","161.83","160.78","162.80","160.27","610.18K","2.66%"
"Apr 28, 2020","157.63","160.55","160.58","157.40","1.21M","-0.36%"
"Apr 27, 2020","158.20","156.92","158.80","156.63","874.84K","1.55%"
"Apr 24, 2020","155.78","154.59","156.06","153.24","947.46K","1.41%"
"Apr 23, 2020","153.61","154.35","156.15","153.38","1.11M","0.12%"
"Apr 22, 2020","153.42","153.23","154.37","152.34","538.68K","2.15%"
"Apr 21, 2020","150.19","152.43","152.99","149.60","1.35M","-3.01%"
"Apr 20, 2020","154.85","155.39","157.42","154.70","1.17M","-1.79%"
"Apr 17, 2020","157.68","156.86","157.96","155.31","742.50K","2.84%"
"Apr 16, 2020","153.32","153.44","153.80","151.51","752.47K","0.43%"
"Apr 15, 2020","152.67","153.19","153.55","151.34","1.99M","-2.18%"
"Apr 14, 2020","156.07","154.48","156.49","153.98","1.18M","3.12%"
"Apr 13, 2020","151.35","152.33","152.69","149.14","1.48M","-1.05%"
"Apr 09, 2020","152.96","152.69","154.62","151.49","1.39M","1.54%"
"Apr 08, 2020","150.64","147.22","151.24","145.75","1.63M","3.55%"
"Apr 07, 2020","145.47","150.63","150.85","145.33","1.44M","0.12%"
"Apr 06, 2020","145.30","141.28","146.25","140.74","1.97M","6.87%"
"Apr 03, 2020","135.96","137.61","138.80","134.39","1.37M","-1.55%"
"Apr 02, 2020","138.10","134.58","138.68","134.37","2.27M","2.07%"
