"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2020","11,777.02","11,627.76","11,846.46","11,564.91","271.40M","4.41%"
"Nov 03, 2020","11,279.91","11,155.84","11,356.08","11,115.55","193.87M","1.76%"
"Nov 02, 2020","11,084.76","11,152.48","11,222.52","10,957.11","191.98M","0.29%"
"Oct 30, 2020","11,052.95","11,265.70","11,293.76","10,960.02","265.83M","-2.62%"
"Oct 29, 2020","11,350.74","11,214.33","11,467.37","11,187.08","214.42M","1.87%"
"Oct 28, 2020","11,142.76","11,400.47","11,426.10","11,136.10","240.12M","-3.93%"
"Oct 27, 2020","11,598.95","11,560.86","11,633.49","11,503.10","185.90M","0.82%"
"Oct 26, 2020","11,504.52","11,584.17","11,708.08","11,360.73","186.91M","-1.61%"
"Oct 23, 2020","11,692.57","11,680.72","11,693.01","11,569.09","152.72M","0.25%"
"Oct 22, 2020","11,662.91","11,712.64","11,739.22","11,529.73","167.16M","-0.02%"
"Oct 21, 2020","11,665.37","11,686.19","11,789.46","11,646.47","162.02M","-0.11%"
"Oct 20, 2020","11,677.84","11,679.08","11,801.39","11,613.76","155.09M","0.37%"
"Oct 19, 2020","11,634.35","11,913.01","11,962.46","11,606.48","184.09M","-1.84%"
"Oct 16, 2020","11,852.17","11,952.12","12,034.13","11,824.14","194.99M","-0.39%"
"Oct 15, 2020","11,898.57","11,767.28","11,928.63","11,765.49","158.29M","-0.72%"
"Oct 14, 2020","11,985.36","12,105.10","12,159.21","11,913.57","176.43M","-0.81%"
"Oct 13, 2020","12,083.17","12,131.07","12,187.78","12,032.75","200.44M","-0.04%"
"Oct 12, 2020","12,088.11","11,900.12","12,204.75","11,880.23","233.33M","3.09%"
"Oct 09, 2020","11,725.85","11,615.57","11,727.60","11,600.86","182.99M","1.51%"
"Oct 08, 2020","11,550.94","11,576.44","11,582.78","11,510.24","148.36M","0.42%"
"Oct 07, 2020","11,503.19","11,412.65","11,519.55","11,382.49","168.07M","1.88%"
"Oct 06, 2020","11,291.27","11,476.67","11,536.42","11,256.26","194.80M","-1.89%"
"Oct 05, 2020","11,509.06","11,345.24","11,512.06","11,336.07","162.99M","2.25%"
"Oct 02, 2020","11,255.69","11,328.86","11,479.08","11,225.17","204.69M","-2.83%"
"Oct 01, 2020","11,583.20","11,554.96","11,606.73","11,488.59","191.86M","1.45%"
"Sep 30, 2020","11,418.06","11,328.55","11,535.01","11,328.55","262.85M","0.84%"
"Sep 29, 2020","11,322.95","11,354.70","11,396.22","11,305.79","165.93M","-0.37%"
"Sep 28, 2020","11,364.45","11,332.32","11,369.40","11,243.24","216.54M","1.91%"
"Sep 25, 2020","11,151.13","10,910.50","11,177.74","10,851.68","201.78M","2.34%"
"Sep 24, 2020","10,896.47","10,746.35","11,026.43","10,728.41","223.64M","0.58%"
"Sep 23, 2020","10,833.33","11,167.22","11,179.59","10,806.05","245.50M","-3.16%"
"Sep 22, 2020","11,186.37","11,082.09","11,207.08","10,943.26","220.92M","1.88%"
"Sep 21, 2020","10,980.22","10,768.01","10,984.76","10,677.85","276.56M","0.40%"
"Sep 18, 2020","10,936.98","11,147.80","11,153.97","10,769.39","537.37M","-1.30%"
"Sep 17, 2020","11,080.95","10,965.74","11,160.04","10,936.80","271.15M","-1.48%"
"Sep 16, 2020","11,247.60","11,467.90","11,486.09","11,242.96","233.92M","-1.67%"
"Sep 15, 2020","11,438.87","11,432.94","11,495.40","11,367.20","216.66M","1.43%"
"Sep 14, 2020","11,277.76","11,250.80","11,363.25","11,192.82","220.45M","1.72%"
"Sep 11, 2020","11,087.40","11,251.19","11,280.41","10,945.22","221.40M","-0.60%"
"Sep 10, 2020","11,154.12","11,501.43","11,566.34","11,095.94","249.80M","-2.12%"
"Sep 09, 2020","11,395.85","11,308.25","11,480.37","11,197.13","266.99M","2.96%"
"Sep 08, 2020","11,068.26","11,143.91","11,400.46","11,055.16","338.09M","-4.77%"
"Sep 04, 2020","11,622.13","11,686.24","11,846.18","11,145.99","364.55M","-1.27%"
"Sep 03, 2020","11,771.37","12,195.75","12,235.00","11,662.11","359.31M","-5.23%"
"Sep 02, 2020","12,420.54","12,417.45","12,439.48","12,176.18","273.60M","1.04%"
"Sep 01, 2020","12,292.86","12,203.36","12,300.44","12,132.78","228.04M","1.50%"
"Aug 31, 2020","12,110.70","12,017.46","12,167.46","12,000.11","298.83M","0.96%"
"Aug 28, 2020","11,995.86","11,992.68","12,018.14","11,928.69","166.46M","0.58%"
"Aug 27, 2020","11,926.16","11,997.89","12,047.99","11,842.84","181.53M","-0.38%"
"Aug 26, 2020","11,971.94","11,779.35","11,979.65","11,768.00","182.20M","2.13%"
"Aug 25, 2020","11,721.80","11,610.58","11,723.95","11,580.89","154.17M","0.82%"
"Aug 24, 2020","11,626.17","11,703.34","11,728.09","11,535.55","178.39M","0.61%"
"Aug 21, 2020","11,555.16","11,476.85","11,574.79","11,461.53","191.26M","0.68%"
"Aug 20, 2020","11,477.05","11,277.05","11,497.18","11,268.46","159.03M","1.40%"
"Aug 19, 2020","11,318.64","11,397.23","11,440.22","11,303.40","166.03M","-0.71%"
"Aug 18, 2020","11,399.03","11,339.76","11,421.10","11,279.08","147.12M","0.98%"
"Aug 17, 2020","11,288.57","11,231.97","11,306.47","11,228.14","156.82M","1.11%"
"Aug 14, 2020","11,164.45","11,187.82","11,213.27","11,106.93","136.45M","-0.12%"
"Aug 13, 2020","11,178.37","11,174.63","11,271.22","11,139.64","166.06M","0.19%"
"Aug 12, 2020","11,157.72","10,972.07","11,190.25","10,970.87","179.14M","2.59%"
"Aug 11, 2020","10,876.08","11,039.68","11,090.92","10,855.06","200.26M","-1.89%"
"Aug 10, 2020","11,085.17","11,153.51","11,159.38","10,941.87","172.56M","-0.49%"
"Aug 07, 2020","11,139.39","11,235.24","11,276.30","11,044.60","178.26M","-1.13%"
"Aug 06, 2020","11,267.08","11,116.49","11,282.24","11,090.50","166.94M","1.27%"
"Aug 05, 2020","11,125.44","11,107.24","11,141.68","11,077.70","153.58M","0.26%"
"Aug 04, 2020","11,096.54","11,048.50","11,097.85","11,002.54","187.55M","0.38%"
"Aug 03, 2020","11,055.08","11,018.02","11,085.50","10,997.67","188.62M","1.37%"
"Jul 31, 2020","10,905.88","10,886.36","10,908.34","10,707.39","266.97M","1.78%"
"Jul 30, 2020","10,715.51","10,578.63","10,737.03","10,531.79","186.22M","0.49%"
"Jul 29, 2020","10,662.98","10,602.40","10,694.88","10,587.20","183.48M","1.24%"
"Jul 28, 2020","10,532.50","10,644.33","10,662.19","10,527.43","166.36M","-1.33%"
"Jul 27, 2020","10,674.38","10,547.11","10,689.55","10,527.64","192.24M","1.82%"
"Jul 24, 2020","10,483.13","10,389.54","10,543.42","10,313.94","250.10M","-0.92%"
"Jul 23, 2020","10,580.59","10,853.16","10,885.38","10,531.21","221.22M","-2.67%"
"Jul 22, 2020","10,870.75","10,850.92","10,910.24","10,776.24","169.30M","0.35%"
"Jul 21, 2020","10,833.07","11,015.54","11,017.43","10,800.87","178.28M","-1.09%"
"Jul 20, 2020","10,952.08","10,672.96","10,971.52","10,621.90","179.78M","2.88%"
"Jul 17, 2020","10,645.22","10,651.59","10,680.70","10,558.78","164.99M","0.18%"
"Jul 16, 2020","10,626.46","10,589.86","10,658.89","10,495.09","153.12M","-0.70%"
"Jul 15, 2020","10,701.68","10,752.11","10,780.40","10,570.96","186.63M","0.11%"
"Jul 14, 2020","10,689.52","10,502.85","10,701.88","10,370.79","212.71M","0.82%"
"Jul 13, 2020","10,602.21","10,951.54","11,069.26","10,574.56","228.08M","-2.16%"
"Jul 10, 2020","10,836.33","10,751.77","10,842.78","10,639.48","160.27M","0.76%"
"Jul 09, 2020","10,754.59","10,745.87","10,785.96","10,574.97","187.39M","0.82%"
"Jul 08, 2020","10,666.70","10,594.41","10,669.13","10,528.82","160.41M","1.36%"
"Jul 07, 2020","10,524.01","10,595.94","10,704.93","10,516.63","157.46M","-0.75%"
"Jul 06, 2020","10,604.06","10,487.70","10,625.09","10,485.82","179.09M","2.53%"
