"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2020","12,966.14","13,253.80","13,285.09","12,887.60","-","-2.34%"
"Sep 02, 2020","13,276.74","13,132.71","13,299.73","13,112.82","-","1.24%"
"Sep 01, 2020","13,113.74","13,032.04","13,113.93","13,004.17","-","0.52%"
"Aug 31, 2020","13,045.60","13,134.39","13,136.55","13,043.63","-","-0.95%"
"Aug 28, 2020","13,170.96","13,115.37","13,173.97","13,066.72","-","0.78%"
"Aug 27, 2020","13,068.81","13,066.15","13,111.45","13,012.97","-","0.20%"
"Aug 26, 2020","13,042.54","13,006.18","13,057.86","12,975.96","-","0.31%"
"Aug 25, 2020","13,001.99","13,029.90","13,029.90","12,943.15","-","0.22%"
"Aug 24, 2020","12,972.88","12,904.95","12,973.40","12,881.40","-","1.28%"
"Aug 21, 2020","12,809.07","12,782.06","12,814.11","12,762.94","-","-0.03%"
"Aug 20, 2020","12,812.86","12,751.29","12,832.33","12,739.00","-","-0.37%"
"Aug 19, 2020","12,859.88","12,931.08","12,946.81","12,843.28","-","-0.39%"
"Aug 18, 2020","12,910.33","12,967.94","12,975.54","12,877.19","-","-0.20%"
"Aug 17, 2020","12,936.11","12,942.31","12,954.92","12,917.72","-","0.26%"
"Aug 14, 2020","12,902.50","12,864.74","12,932.89","12,856.69","-","-0.13%"
"Aug 13, 2020","12,919.15","12,914.70","12,965.59","12,885.51","-","-0.43%"
"Aug 12, 2020","12,974.82","12,984.90","13,010.86","12,944.78","-","0.98%"
"Aug 11, 2020","12,849.37","12,996.43","13,003.59","12,826.87","-","0.04%"
"Aug 10, 2020","12,844.02","12,797.78","12,852.95","12,796.23","-","0.61%"
"Aug 07, 2020","12,765.84","12,655.70","12,766.05","12,650.68","-","0.29%"
"Aug 06, 2020","12,729.17","12,708.48","12,729.27","12,659.31","-","-0.02%"
"Aug 05, 2020","12,731.55","12,713.71","12,750.03","12,710.16","-","0.95%"
"Aug 04, 2020","12,612.09","12,548.93","12,612.47","12,532.61","-","0.60%"
"Aug 03, 2020","12,536.81","12,513.21","12,562.23","12,470.91","-","0.58%"
"Jul 31, 2020","12,465.05","12,509.33","12,509.33","12,320.73","-","-0.54%"
"Jul 30, 2020","12,533.28","12,491.46","12,544.80","12,393.80","-","-1.08%"
"Jul 29, 2020","12,669.62","12,533.46","12,688.69","12,533.46","-","1.43%"
"Jul 28, 2020","12,491.22","12,515.84","12,563.45","12,482.27","-","-0.49%"
"Jul 27, 2020","12,553.13","12,481.01","12,556.56","12,444.51","-","0.73%"
"Jul 24, 2020","12,461.78","12,488.68","12,522.19","12,427.66","-","-0.39%"
"Jul 23, 2020","12,510.87","12,567.17","12,617.18","12,459.06","-","-0.46%"
"Jul 22, 2020","12,569.07","12,508.68","12,578.98","12,480.73","-","0.48%"
"Jul 21, 2020","12,508.68","12,492.08","12,570.71","12,481.97","-","0.93%"
"Jul 20, 2020","12,392.98","12,413.15","12,432.77","12,352.72","-","-0.08%"
"Jul 17, 2020","12,402.74","12,395.76","12,427.49","12,339.87","-","0.43%"
"Jul 16, 2020","12,350.11","12,310.18","12,381.38","12,295.69","-","-0.33%"
"Jul 15, 2020","12,391.32","12,377.65","12,419.80","12,309.26","-","1.53%"
"Jul 14, 2020","12,204.21","11,989.41","12,215.15","11,963.50","-","1.58%"
"Jul 13, 2020","12,014.67","12,159.75","12,242.68","12,000.98","-","-0.50%"
"Jul 10, 2020","12,075.58","11,935.30","12,079.11","11,906.21","-","1.23%"
"Jul 09, 2020","11,928.63","12,089.24","12,103.16","11,831.04","-","-1.31%"
"Jul 08, 2020","12,086.39","12,023.57","12,095.18","11,971.89","-","0.80%"
"Jul 07, 2020","11,990.14","12,056.21","12,107.95","11,979.77","-","-1.40%"
"Jul 06, 2020","12,160.01","12,181.29","12,218.19","12,114.32","-","1.41%"
"Jul 02, 2020","11,991.52","12,088.70","12,138.83","11,970.80","-","0.76%"
"Jul 01, 2020","11,901.55","11,907.83","11,982.23","11,858.82","-","0.07%"
"Jun 30, 2020","11,893.78","11,736.75","11,934.96","11,724.57","-","0.99%"
"Jun 29, 2020","11,777.08","11,683.07","11,777.64","11,605.47","-","1.49%"
"Jun 26, 2020","11,604.43","11,796.40","11,814.01","11,578.81","-","-2.20%"
"Jun 25, 2020","11,865.11","11,680.39","11,866.20","11,640.02","-","1.18%"
"Jun 24, 2020","11,726.54","11,956.29","11,961.62","11,650.91","-","-2.91%"
"Jun 23, 2020","12,077.74","12,157.37","12,176.43","12,068.09","-","0.41%"
"Jun 22, 2020","12,028.91","11,963.30","12,045.65","11,907.22","-","0.41%"
"Jun 19, 2020","11,980.12","12,240.31","12,240.31","11,946.96","-","-0.77%"
"Jun 18, 2020","12,072.59","11,994.46","12,110.20","11,984.71","-","-0.12%"
"Jun 17, 2020","12,086.49","12,193.41","12,202.58","12,068.21","-","-0.62%"
"Jun 16, 2020","12,161.47","12,304.14","12,318.75","11,992.98","-","1.83%"
"Jun 15, 2020","11,942.91","11,565.82","11,997.65","11,525.36","-","0.64%"
"Jun 12, 2020","11,867.17","11,999.48","12,030.94","11,640.59","-","1.78%"
"Jun 11, 2020","11,659.17","12,090.13","12,099.18","11,636.01","-","-6.35%"
"Jun 10, 2020","12,449.22","12,616.63","12,628.91","12,431.56","-","-1.35%"
"Jun 09, 2020","12,619.52","12,635.60","12,682.74","12,578.54","-","-1.69%"
"Jun 08, 2020","12,836.60","12,734.54","12,836.68","12,688.55","-","1.54%"
"Jun 05, 2020","12,641.44","12,640.98","12,752.14","12,600.70","-","2.88%"
"Jun 04, 2020","12,286.98","12,236.74","12,328.51","12,202.36","-","-0.12%"
"Jun 03, 2020","12,302.19","12,175.06","12,329.29","12,175.06","-","2.12%"
"Jun 02, 2020","12,046.41","11,900.24","12,046.41","11,900.24","-","1.23%"
"Jun 01, 2020","11,900.24","11,799.92","11,928.80","11,781.88","-","0.82%"
"May 29, 2020","11,802.95","11,750.97","11,817.39","11,645.71","-","-0.02%"
